Question,Answer
What is your return policy?,Returns are accepted within 30 days of purchase.
Can I return my product?,Returns are accepted within 30 days of purchase.
Can I send back an item I purchased?,Returns are accepted within 30 days of purchase.
How can I track my order?,You can track your order using the tracking number on our website.
Where is my package?,You can track your order using the tracking number on our website.
Do you offer refunds?,Yes refunds are available after verification.
Can I get my money back?,Yes refunds are available after verification.
How long does shipping take?,Shipping usually takes 3 to 7 business days.
How can I contact customer support?,You can contact customer support through email or phone.
Where can I reach support?,You can contact customer support through email or phone.
okay ?, thank you .if you want any further about your order please contact.i will be here u to assisst you .
